ACCE_ABSORB_CHANCE	Rata absorbtiei: %d%%
MONEY_INPUT_DIALOG_SELLPRICE	Pret de vanzare:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Nu poti face asta in timp ce calaresti.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Poti creste nivelul calului atunci cand ajungi la Nivel Campion.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Ai nevoie de %d Furaje si %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Incerci sa cresti nivelul calului la %d?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Pentru a creste nivelul calului tau, vei avea nevoie de %d Furaje, %d Gaya, %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Nu ai suficient Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Cresterea nivelului calului a esuat.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Nivelul calului a crescut la %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Nu ai suficient Yang sau Furaj.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Urmatorul nivel: %d (Max. %d)
MOVE_CHANNEL_NOTICE	Te-ai conectat cu succes la canalul %d ...
MOVE_CHANNEL_OFFLINE	Acest canal este inchis.
MOVE_CHANNEL_TITLE	Schimba canalul
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nu poti muta obiectul daca ai deschis un magazin privat.
MULTI_FARM_ACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFFAcest cont primeste drop!|r
MULTI_FARM_ACTIVE_TEXT	Doresti sa activezi farm-ul?
MULTI_FARM_DEACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFFAcest cont nu mai primeste drop!|r
MULTI_FARM_DEACTIVE_TEXT	Doresti sa dezactivezi farm-ul?
MULTI_FARM_PREMIUM_EFFECT	+%d caractere la Multi-Farm	SA
MULTI_FARM_TEXT_CAN_FARM	Dezactiveaza multi-farm - |Eemoji/key_lclick|e
MULTI_FARM_TEXT_CANT_FARM	Activeaza multi-farm - |Eemoji/key_lclick|e
MULTI_FARM_TITLE	Multi-Farm
MUSIC_EMPTY_MUSIC_LIST	Nicio muzica de fundal.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 muzica standard
MUSIC_NOT_SELECT_MUSIC	Nu ai ales nici un fisier de muzica.
NEEFD_REST	Trebuie sa te odihnesti intai.
NOT_YET_SUPPORT	Nu este suportat.
OFFLINESHOP_AFFECT_DECORATION	Decoratiune magazin	SNA
OFFLINESHOP_BOARD_TITLE	Magazin privat
OFFLINESHOP_BUTTON_CLOSE	Inchide magazin
OFFLINESHOP_BUTTON_HISTORY	Istoric
OFFLINESHOP_BUTTON_HISTORY_CLEAR	Șterge istoric
OFFLINESHOP_DO_YOU_GET_BACK	Vrei sa retragi %s din magazin?
OFFLINESHOP_DO_YOU_REMOVE_HISTORY	Vrei sa stergi istoricul?
OFFLINESHOP_DO_YOU_WANT_BACK	Vrei sa iti retragi itemele?
OFFLINESHOP_DO_YOU_WANT_CLOSE	Vrei sa inchizi magazinul?
OFFLINESHOP_DO_YOU_WANT_OPEN	Vrei sa deschizi magazinul pentru %s Yang?
OFFLINESHOP_DO_YOU_WANT_SLOT	Vrei sa deblochezi acest slot?
OFFLINESHOP_EXTEND_TIME_DIALOG	Te costa %s pentru a extinde cu 12 ore.
OFFLINESHOP_ITEM_SOLD	Vandut!
OFFLINESHOP_ITEM_SOLD2	[Cumparator: %s]
OFFLINESHOP_ITEM_SOLD_MESSAGE	Ai vandut %s cu %s Yang
OFFLINESHOP_ITEM_SOLD_MESSAGE_WITH_COUNT	Ai vandut x%d%s cu %s Yang
OFFLINESHOP_SEARCH_BUTTON	Cauta
OFFLINESHOP_SEARCH_BUTTON_BUY	Cumpara
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION	Ai %d item selectat.
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION2	Ai %d iteme selectate.
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION_TOTAL	Total %s.
OFFLINESHOP_SEARCH_CLASS	Clasa
OFFLINESHOP_SEARCH_CLASS_ALL	Toate
OFFLINESHOP_SEARCH_CLASS_ASSASSIN	Ninja
OFFLINESHOP_SEARCH_CLASS_SHAMAN	Șaman
OFFLINESHOP_SEARCH_CLASS_SURA	Sura
OFFLINESHOP_SEARCH_CLASS_WARRIOR	Razboinic
OFFLINESHOP_SEARCH_FILTER	Filtru item
OFFLINESHOP_SEARCH_ITEM_COUNT	Cantitate
OFFLINESHOP_SEARCH_ITEM_NAME	Nume item
OFFLINESHOP_SEARCH_ITEM_SELLER	Vanzator
OFFLINESHOP_SEARCH_NOT_ENOUGH_YANG	Nu ai suficient Yang.
OFFLINESHOP_SEARCH_OBJECTS	Obiecte
OFFLINESHOP_SEARCH_OBJECTS_ALL	Toate
OFFLINESHOP_SEARCH_OBJECTS_BOOKS	Carti
OFFLINESHOP_SEARCH_OBJECTS_BOOKS_COMPANIONS	Insotitori
OFFLINESHOP_SEARCH_OBJECTS_BOOKS_SKILLS	Abilitati
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS	Companioni
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_MOUNT	Mount
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_PET	Animalute
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_PET2	Insotitori
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES	Costume
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_ACCE	Esarfe
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_ARMOUR	Armura
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_AURA	Aura
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_HAIR	Frizura
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_MOUNT_SKIN	Mount
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_PET_SKIN	Animalute
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_WEAPON	Arme
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT	Echipament
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_ARMOUR	Armura
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_BELTS	Curele
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_BRACELETS	Bratari
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_EARRINGS	Cercei
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_HELMETS	Casca
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_NECKLACES	Colier
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_PENDANT	Talisman
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_SHIELD	Scut
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_SHOES	Papuci
OFFLINESHOP_SEARCH_OBJECTS_OTHERS	Altele
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS	Arme
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_BELL	Clopot
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_BOW	Arc
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_DAGGER	Pumnale
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_FAN	Evantai
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_SWORD	Sabie
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_TWOHAND	Lama doua-maini
OFFLINESHOP_SEARCH_PRICE	Pret
OFFLINESHOP_SEARCH_SELECT_ITEM	Trebuie sa alegi un item.
OFFLINESHOP_SEARCH_TITLE	Cautare globala
OFFLINESHOP_SEARCH_WAIT	Te rog asteapta
OFFLINESHOP_SEARCH_WAIT_SPAM	Trebuie sa astepti cateva secunde.
OFFLINESHOP_VIEWS	Views: %d Total: %d
ONLINE_PLAYER_NOTICE	Jucatorul %s este online.
OPTION_GAME_CHARACTER	Caracter
OPTION_GAME_ENVIRONMENT	Ambient
OPTION_GAME_GRAPHIC	Grafica
OPTION_GAME_INTERFACE	Interfata
OPTION_GAME_PICKUP	Colectare
OPTION_GAME_SETTINGS	Setari joc
OPTION_GAME_SOUND	Sunete si muzica
OPTION_GRAPHIC_SETTINGS	Setari grafica
OPTION_SOUND_SETTINGS	Setari sunete
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nu poti activa modul breasla daca nu apartii nici uneia.
OPTION_PVPMODE_NOT_SUPPORT	Nu poti folosi configuratia modului PvP.
OPTION_PVPMODE_PROTECT	Trebuie sa fi atins minim nivelul %d pentru a activa modul PvP.
PARTY_ANSWER_TIMEOVER	Invitatia in grup a fost anulata.
PARTY_BONUS_ATTACKER	Valoare atac: +%d	SA
PARTY_BONUS_BERSERKER	Viteza de atac: +%d	SA
PARTY_BONUS_BUFFER	Durata Skill: +%d	SA
PARTY_BONUS_DEFENDER	Aparare: +%d	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. PM: +%d	SA
PARTY_BONUS_TANKER	Max. PV: +%d	SA
PARTY_BREAK_UP	Sparge grupa
PARTY_DO_YOU_ACCEPT	%s te-a invitat in grup.
PARTY_DO_YOU_JOIN	, accepti invitatia de a intra in grup?
PARTY_EXP_DISTRIBUTION_MODE	Distribuire EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Adept level
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Nivel mai inalt primeste mai mult EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Egal
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Toti membrii grupei primesc la fel de mult EXP.
PARTY_HEAL_ALL_MEMBER	Reface totul
PARTY_INCREASE_AREA_150	Autonomia grupei marita de 1,5 ori.	SNA
PARTY_INCREASE_AREA_200	Autonomia grupei marita de 2 ori.	SNA
PARTY_LEAVE	Paraseste grupul
PARTY_LONGTIME_BONUS_EXP	EXP-bonus petru joc de grupa lung: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Striga membru al grupei incoace.
PARTY_REGEN_BONUS	Bonus pentru regenerarea PV- + PM: +%d%%	SA
PARTY_REQUEST_DENIED	Cererea a fost refuzata.
PARTY_SET_ATTACKER	Stabileste ca atacator.
PARTY_SET_BERSERKER	Stabileste ca berserker.
PARTY_SET_BUFFER	Stabileste ca blocant.
PARTY_SET_DEFENDER	Stabileste ca aparator.
PARTY_SET_NORMAL	Anuleaza setarea.
PARTY_SET_SKILL_MASTER	Stabileste ca maestru al competentei.
PARTY_SET_TANKER	Stabileste ca luptator de apropiere.
PARTY_SKILL_ATTACKER	Valoare de baza atac atacator +%.0f
PARTY_SKILL_BERSERKER	Viteza de atac berserker +%.0f
PARTY_SKILL_BUFFER	Durata Skill Blocant +%.0f
PARTY_SKILL_DEFENDER	Aparare aparator +%.0f
PARTY_SKILL_HP_REGEN	Regenerare PV +%.0f%%
PARTY_SKILL_PARTY_AREA	Autonomia grupei +%d%%
PARTY_SKILL_SKILL_MASTER	PM maestrul competentei max. +%.0f
PARTY_SKILL_SP_REGEN	Regenerare PM +%.0f%%
PARTY_SKILL_TANKER	Max. PV luptator aproape +%.0f
PARTY_SKILL_WARP	Capacitate de a striga membri ai grupei incoace.
PASSWORD_TITLE	Parola depozit
PET_ATTR_CHANGE_DIALOG_TEXT	Doresti sa schimbi atributele insotitorului acum?\nObiectul 'Insotitor Magic' va fi folosit in acest proces.\nProcesul poate esua.
PET_ATTR_DETERMINE_TYPE1	Insotitor Tip 1: neIndemanatic. Nu este foarte puternic.\nVei putea sa ii imbunatatesti abilitatile.
PET_ATTR_DETERMINE_TYPE2	Insotitor Tip 2: indiscret. Nu este foarte puternic.\nUn insotior loial ale carui abilitati se vor imbunatati cu timpul.
PET_ATTR_DETERMINE_TYPE3	Insotitor Tip 3: vioi. Putere medie.\nVei putea sa ii imbunatatesti abilitatile.
PET_ATTR_DETERMINE_TYPE4	Insotitor Tip 4: curajos. Putere medie.\nUn insotior loial ale carui abilitati se vor imbunatati cu timpul.
PET_ATTR_DETERMINE_TYPE5	Insotitor Tip 5: indraznet. Puternic.\nVei putea sa ii imbunatatesti abilitatile si mai mult.
PET_ATTR_DETERMINE_TYPE6	Insotitor Tip 6: legendar. Puternic.\nUn insotior loial ale carui abilitati se vor imbunatati mai mult cu timpul.
PET_ATTR_DETERMINE_TYPE7	Insotitor Tip 7: mitic. Foarte puternic.\nVa ajunge in timp la potential maxim.
PET_ATTR_DETERMINE_TYPE8	Insotitor Tip 8: prismatic. Extrem de puternic.\nUn insotitor loial pe care te vei putea baza mereu.
PET_BAG_DESC	%s
PET_CAN_NOT_EGG_ITEM_USE	Nu poti deschide Incubatorul in timp ce negociezi, ai deschis depozitul sau un magazin privat.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nu poti pune obiecte sparte in aceasta fereastra.
PET_CAN_NOT_FEED_TYPE	Nu poti hrani insotitorul cu asta. incearca altceva.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Insotitorul trebuie sa aiba nivelul %d pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Insotitorul trebuie sa aiba 100% experienta pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Insotitorul a atins deja cel mai inalt grad al evolutiei.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nu poti deschide un magazin privat in timp ce ai chemat insotitorul.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Insotitorul trebuie sa aiba %d zile pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nu poti chema insotitorul deoarece a expirat valabilitatea.
PET_CAN_NOT_USE_BAG	Nu poti folosi Cutia de Transport deoarece insotitorul tau deja a expirat.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Insotitorul nu are nicio abilitate de resetat.
PET_HATCHING_ACCEPT	Doresti sa iti chemi insotitorul '%s'?
PET_HATCHING_MONEY	Pret: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nu poti avea nicio alta actiune in timp ce Incubatorul este deschis.
PET_INFORMATION_STAGE1	Tanar
PET_INFORMATION_STAGE2	Salbatic
PET_INFORMATION_STAGE3	Curajos
PET_INFORMATION_STAGE4	Eroic
PET_INFO_EXP	Experienta acumulata
PET_INFO_ITEM_EXP	EXP obiect actual
PET_INFO_NEXT_EXP	Experienta ramasa
PET_INFO_NEXT_ITEM_EXP	EXP obiect ramas
PET_MSG_NOT_ENOUGH_MONEY	Nu ai Yang suficient.
PET_NAME_CHANGE_ACCEPT	Doresti sa schimbi numele insotitorului in %s?
PET_NAME_MIN	Numele introdus este prea scurt.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Nu exista niciun insotitor de reInviat.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Nu ai destul material.
PET_REVIVE_QUESTION	Vrei sa reInvii pe %s? Numar de Prisme ReInviere: %d
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Resetarea abilitatilor insotitorului este ireversibila.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Doresti sa continui?
PET_SKILL_LEARN_QUESTION_DLG_MSG	Doresti sa incepi antrenamentul pentru '%s'?
PET_SKILL_TOOLTIP_COOLTIME	Calmare: %s secunde
PET_SKILL_TOOLTIP_FEATHER	Insotitorul are %d%% sansa sa activeze Mers de Fulg pentru %.1f secunde.\nAtac %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Cand PV scade sub 20%, ai \n %d%% sansa sa cresti PV cu %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Caracterul tau are %d%% sansa sa devina invincibil \n atunci cand PV scade sub 10%%. \n Durata efect: %.1f secunde.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Exista o sansa de %d%% pentru a inlatura imediat \n toate efectele precum incetinirea, otravirea sau sangerarea daca \n a fost afectat caracterul.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Treci antrenamentul la urmatorul nivel?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Pret: %s
PET_TOOLTIP_DEF	Aparare
PET_TOOLTIP_HP	PV
PET_TOOLTIP_LEVEL	Nivel
PET_TOOLTIP_LIFETIME_OVER	Expirat
PET_TOOLTIP_SKILL_BONUS_VALUE	In antrenament
PET_TOOLTIP_SKILL_CUR_LEVEL	Nivel: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Urmatorul nivel: %d (max. %d)
PET_TOOLTIP_SP	PM
PET_TOOLTIP_TRADABLE	Negociabil
PET_TOOLTUP_SKILL	%s (Stagiu %d)
PICK_ITEM_TITLE	Numarul obiectului.
PICK_MONEY_TITLE	Suma
PRIVATE_SHOP_CANNOT_SELL_ITEM	Nu poti vinde acest obiect in magazin.
PRIVATE_SHOP_CLOSE_QUESTION	Vrei sa inchizi magazinul?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Numele magazinului
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Pret
PVP_LEVEL0	Cavaleresc
PVP_LEVEL1	Nobil
PVP_LEVEL2	Bun
PVP_LEVEL3	Prietenos
PVP_LEVEL4	Neutru
PVP_LEVEL5	Agresiv
PVP_LEVEL6	Dezonorat
PVP_LEVEL7	Rautacios
PVP_LEVEL8	Crud
PVP_MODE_GUILD	PvP - Breasla activat
PVP_MODE_KILL	PvP - Liber activat.
PVP_MODE_NORMAL	PvP - Pace activat.
PVP_MODE_PROTECT	PvP - Protectie activat.
PVP_MODE_REVENGE	PvP - Agresiv activat.
PVP_OPTION_KILL	Liber
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protectie
PVP_OPTION_REVENGE	Agresiv
QUEST_APPEND	Misiune noua inregistrata.
QUEST_CATEGORY_00	Misiuni principale
QUEST_CATEGORY_01	Misiuni secundare
QUEST_CATEGORY_02	Misiuni de vanatoare
QUEST_CATEGORY_03	Misiuni eveniment
QUEST_CATEGORY_04	Misiuni biolog
QUEST_CATEGORY_05	Misiuni din joc
QUEST_CATEGORY_06	Misiuni de la carti
QUEST_CATEGORY_07	Misiuni zilnice
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Timpul a expirat
QUEST_UNLIMITED_TIME	Nici o limita de timp
QUEST_ZEROSEC	0 sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Acest obiect nu poate fi adaugat la campul de acces rapid.
RECEIVE_MESSAGE	%s ti-a trimis un mesaj.
REFINE_AUTO	Pastreaza fereastra deschisa
REFINE_COST	Costuri de imbunatatire: %d Yang
REFINE_COST_UPGRADE	[i] Costuri de imbunatatire
REFINE_DESTROY_WARNING	Obiectul poate fi distrus prin innobilare.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Creste probabilitatea de imbunatatire,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	dar daca nu iti reuseste, obiectul va fi distrus. Continui?
REFINE_DOWN_GRADE_WARNING	Obiectul poate fi distrus prin innobilare.
REFINE_DO_YOU_SEPARATE_METIN	Doresti sa inlaturi toate Pietrele Spiritului disponibile?
REFINE_FAILURE	Nu a functionat. Am esuat.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nu poate fi adaugat obiectului.
REFINE_FAILURE_EQUIP_ITEM	Nu poti imbunatati obiectele echipate.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nu poate fi indepartata nici o piatra stafie.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ai nevoie de un pergament de imbunatatire mai bun.
REFINE_FAILURE_NO_GOLD_SOCKET	Nu exista suport de aur pentru a adauga %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nu poti sa mai adaugi suporturi.
REFINE_FAILURE_NO_SOCKET0	Nu exista suport pentru a adauga %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Acestui obiect nu ii poate fi adaugat un suport.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Acest obiect nu poate fi imbunatatit.
REFINE_NEED_ITEMS	[i] Materiale necesare
REFINE_SUCCESS	Imbunatatirea obiectului a reusit.
REFINE_SUCCESS_PROBALITY	Șansa de imbunatatire: %d%%
REFINE_UPGRADE	[i] imbunatatire
REFINE_WARNING2	Vrei sa continui?
RENEWAL_SKILL_SELECT_ASSASSIN_SKILL_IMG_DESC_LEFT	Un puternic si iute luptator este capabil sa isi ucida[ENTER]dusmanul fara ca acesta sa isi dea[ENTER]seama ce s-a intamplat!
RENEWAL_SKILL_SELECT_ASSASSIN_SKILL_IMG_DESC_RIGHT	Un vechi luptator ce l-a avut ca profesor pe[ENTER]arcasul Lars Andersen si poate face cu sagetile ceea[ENTER]ce nimeni nu credea ca este posibil!
RENEWAL_SKILL_SELECT_CONFIRMATION	Competenta aleasa : %s
RENEWAL_SKILL_SELECT_FINAL_ANSWER	Sunteti sigur de aceasta alegere?
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_1_FOOTER	Lupta corp la corp
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_2_FOOTER	Lupta la departare
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_1_HEADER	Ninja Lama
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_2_HEADER	Ninja Arc
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_1_FOOTER	Lupta defensiva corporala
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_2_FOOTER	Lupta ofensiva psihica
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_1_HEADER	Șaman Zmeu
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_2_HEADER	Șaman Vindecare
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_1_FOOTER	Lupta corp la corp
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_2_FOOTER	Lupta magica
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_1_HEADER	Sura Arme Magice
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_2_HEADER	Sura Magie Neagra
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_1_FOOTER	Lupta corp la corp
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_2_FOOTER	Lupta psihica
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_1_HEADER	Razboinic Corporal
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_2_HEADER	Razboinic Mental
RENEWAL_SKILL_SELECT_SHAMAN_SKILL_IMG_DESC_LEFT	A fost creat si crescut cu scopul de a-si ajuta aliatii oferindu-le putere in lovituri si protectie in lupta!
RENEWAL_SKILL_SELECT_SHAMAN_SKILL_IMG_DESC_RIGHT	Este capabil sa isi ofere siesi si aliatilor sai viteza si[ENTER]regenerare in lupta fiind si un bun ucigas!
RENEWAL_SKILL_SELECT_SURA_SKILL_IMG_DESC_LEFT	Un legionar din Teutoburg ramas in viata ca un[ENTER]mutant si fiind nevoit sa supravietuiasca in padurea[ENTER]mortii, s-a specializat pe lupta contra monstrilor!
RENEWAL_SKILL_SELECT_SURA_SKILL_IMG_DESC_RIGHT	Un tradator al legiunii, fiind un vrajitor de temut[ENTER]acesta reuseste prin, abilitatile sale sa puna pe fuga[ENTER]chiar si pe cei mai de temut luptatori!
RENEWAL_SKILL_SELECT_WARRIOR_SKILL_IMG_DESC_LEFT	Cunoscuti pentru iuteala si atacurile de baza mari,[ENTER]razboinicii corporali mai sunt numiti si berserkeri[ENTER]neInfricati!
RENEWAL_SKILL_SELECT_WARRIOR_SKILL_IMG_DESC_RIGHT	Solid ca si zidul chinezesc, razboinicul mental este[ENTER]greu de pus la pamant, ajutat fiind de mobilitatea[ENTER]pe care o are!
RESTART_INSTANT_MESSAGE	Aceasta optiune te costa 500.000 Yang.
RESTART_CLIENT_DO_YOU_ACCEPT_1	Trebuie sa repornesti clientul pentru ca modificarile sa fie aplicate.
RESTART_CLIENT_DO_YOU_ACCEPT_2	Vrei sa repornesti clientul acum?
REVIVE_AUTO_TOWN_MESSAGE	Vei fi teleportat in oras in: {}
SAFEBOX_ERROR	Ai introdus o parola gresita.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nu poti vinde nici unul din obiectele salvate.
SAFEBOX_WRONG_PASSWORD	Parolele trebuie sa fie identice.
SCREENSHOT_SAVE1	Poza este salvata in
SCREENSHOT_SAVE2	directorul screenshot
SCREENSHOT_SAVE_FAILURE	Salvarea screenshotului esuata.
SECOND	Sec
SECOND_CONFIRM_PET_FEED_QUESTION_1	Obiectul tau are %d sau mai multe bonusuri.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Esti sigur ca doresti sa hranesti insotitorul?
SELECT_CAN_NOT_DELETE	Nu poti sterge caracterul.
SELECT_CHANGED_NAME	Ai schimbat numele caracterului.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Numele caracterului exista deja.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Mai incearca odata.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Numele caracterului este gresit.
SELECT_CHANGE_NAME_TITLE	Schimba numele caracterului
SELECT_DELEING	Caracterul se va sterge
SELECT_DELETED	Ștergerea s-a realizat.
SELECT_DO_YOU_DELETE_REALLY	Vrei sa continui?
SELECT_EMPTY_SLOT	Acesta este un camp gol.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Introdu un nou nume.
SELECT_NOT_JOIN_GUILD	Nici o breasla
SELL_PRICE_INFO	[Pret de vanzare]
SELL_PRICE_INFO_PCS	Bucata: %s
SELL_PRICE_INFO_ALL	Toate: %s
SERVER_NOTIFY_CLOSED	Server inchis: pot intra doar conturile create inainte de inchidere.
SERVER_STATUS_CLOSE	INCHIS
SERVER_STATUS_NEW	NOU
SERVER_STATUS_SPECIAL	SPECIAL
SHIP_MAST	Catarg
SHOP_ALREADY_HAVE_ONE_ITEM	Poti avea doar un item de acest tip cu tine.
SHOP_BUY_INFO	Alege obiectul pe care vrei sa-l cumperi in fereastra magazinului.
SHOP_CANNOT_SELL_EQUIPMENT	Nu poti vinde obiectele echipate.
SHOP_CANNOT_SELL_ITEM	Acest obiect nu este de vanzare.
SHOP_ERROR_UNKNOWN	Eroare necunoscuta magazin: %s
SHOP_INVALID_POS	Acest obiect este nepotrivit.
SHOP_INVENTORY_FULL	Nu mai exista loc in inventar.
SHOP_NOT_ENOUGH_COINS	Nu ai suficiente Monede Dragon.
SHOP_NOT_ENOUGH_EXP	Nu ai suficienta Experienta.
SHOP_NOT_ENOUGH_ITEM	Nu ai suficiente Obiecte.
SHOP_NOT_ENOUGH_MONEY	Nu ai suficienti Yang.
SHOP_SELL_INFO	Alege obiectul pe care vrei sa-l vinzi din fereastra inventarului tau.
SHOP_SOLDOUT	Vandut
SHOT_ERROR_UNKNOWN	Eroare necunoscuta in timpul atacului la distanta: %s
SKILL_BOHO	Reflectare
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ai nevoie de EXP pentru a invata calificarea aceasta.
